signal,condition,A,B,C,rationale
primary_drivers,cost,3,1,-1,"Cost-only drivers favor the fastest path off the legacy license; lift-and-shift realizes savings soonest."
primary_drivers,performance,0,2,2,"Performance gains need set-based refactor or re-architecture; mechanical conversion preserves slow patterns."
primary_drivers,ai,-1,1,3,"AI/Cortex value depends on a modern model + semantic layer, strongly favoring re-architect."
primary_drivers,consolidation,-1,1,3,"M&A/consolidation needs a unified target model; re-architecture is the natural fit."
primary_drivers,regulatory,0,2,2,"Regulatory drivers need governance baked in; refactor or rewrite let you embed masking/lineage at build time."
tight_deadline,true,3,1,-2,"Hard deadlines penalize rewrite and favor automated conversion."
code_complexity,high,-1,1,2,"High procedural complexity (cursors, dynamic SQL) carries badly through mechanical conversion; refactor/rewrite pay off."
code_complexity,low,2,1,0,"Simple codebases convert cleanly; lift-and-shift is low risk and sufficient."
team_maturity,high,-1,1,3,"Mature Snowflake teams can absorb a rewrite and exploit native features."
team_maturity,low,3,1,-1,"Low-maturity teams should not attempt a re-architecture as their first Snowflake project."
real_time_need,true,-1,2,2,"Real-time/CDC needs Snowpipe Streaming + new pipelines, not a like-for-like batch port."
rewrite_appetite,true,-2,1,3,"Explicit appetite for modernization/greenfield strongly favors re-architecture."
preserve_appetite,true,3,1,-2,"Explicit lift-and-shift/minimal-change intent favors automated conversion."
etl_tools,ssis,1,2,1,"SSIS does not run on Snowflake; refactor to ELT/dbt is the mainstream path, but a quick retarget is possible."
etl_tools,informatica,0,2,1,"Informatica can retarget to Snowflake (replatform) or be rebuilt in dbt; refactor balances both."
etl_tools,dbt,-1,1,3,"Existing dbt usage signals readiness for ELT-native re-architecture."
source_platform,teradata,0,2,2,"Teradata cost-reduction migrations benefit from set-based refactor; BTEQ rarely ports cleanly as-is."
source_platform,oracle,0,2,1,"Heavy PL/SQL (packages) must be rewritten regardless; refactor captures that without full re-architecture."
